Message,Label,Source
Hi 我係 Cherry～而家招網上登記員：幫公司登記會員資料，100 份=$1000💰 支援 Excel / 手機記事本，日結 FPS！加 WhatsApp 領表格,fraud,WhatsApp
"【電商評價員】幫內地網店寫 5 星好評+晒圖，每單 $70-$150🌟 平台提供圖片同模板，抄寫即過數！回 ""評價"" 入官方群",fraud,WhatsApp
"Hello, this is HR from Global E-commerce Ltd. We need data entry clerks, type product info from images, $0.2 per entry, avg $1000/day. Reply ""DATA"" to join.",fraud,WhatsApp
打字員火速招聘！主要打手寫發票，1000字=$240🖋️ 支援 Microsoft Word / WPS，任務每日更新，完成即過銀行！WhatsApp：+852 6221 4477,fraud,Facebook
"【TikTok 推廣員】每日幫品牌影片點 Like + 分享，$15/個，一日 80 個 = $1200📱 自動化工具教學，香港 IP 限定，回 ""TikTok"" 入群",fraud,Facebook
"Hi 我係 Lily～見你 LinkedIn 有行政經驗！而家有遠程文件整理工：掃描文件轉 PDF + 命名，日薪 $700-$1800💼 回 ""文件"" 加群",fraud,Facebook
"【模擬下單員】幫 Lazada 店衝排名，每單 $100-$280💰 平台墊付全額，完成即退款+佣金！日結微信，回 ""Lazada"" 入任務群",fraud,Facebook
急聘線上助理📋 主要回覆客戶 WhatsApp 標準訊息，時薪 $130🕰️ 每日 4 小時，屋企手機搞掂，包教模板！WhatsApp：+852 5338 7765,fraud,Facebook
"【Google 評論員】幫本地店寫 5 星 Google Review，每條 $80-$200🌟 提供店舖資料同模板，抄寫即過 FPS！回 ""Google"" 入群",fraud,Facebook
"Hi 我係 Vicky～而家有新項目：幫公司登記保單資料，100 份=$1200📑 支援手機記事本，無經驗都教！香港居民優先，回 ""保單"" 加群",fraud,Facebook
"【Shopee 刷單員】模擬購買提升銷量，每單佣金 $85-$220🛒 平台先墊錢，完成即退款+佣金！日結 Alipay，回 ""Shopee"" 入群",fraud,Facebook
打字員招募！主要打中醫處方，1000字=$260💊 任務每日發放，支援 WPS / 備忘錄，完成即過微信紅包！加群：https://t.me/HKTyping2025,fraud,Facebook
"Hello I’m Tom from Recruitment Agency. We need remote order processors, verify online orders, $600-2000/day. Reply ""ORDER"" to get details.",fraud,Facebook
"【FB 廣告點擊員】每日點擊指定 FB 廣告，$10/click，一日 150 click = $1500🔥 香港 IP 限定，完成過支付寶！回 ""FB"" 入任務群",fraud,Facebook
急聘網店助理（遠程）幫內地店核對庫存，4小時 $850📦 無經驗都得，包教 Excel！日結銀行過數，WhatsApp：+852 9663 2211,fraud,Facebook
"【YouTube 留言員】幫頻道寫正面留言，$18/條，一日 70 條 = $1260💬 提供模板，抄寫即過數！回 ""留言"" 入群",fraud,Thread
"Hi 我係 Sandy～見你 Indeed 資料好細心！而家有遠程資料輸入工：抄產品規格入系統，日薪 $800+💻 回 ""輸入"" 加群",fraud,Thread
"【淘寶直播助理】幫主播刷人氣禮物，每單 $120-$300🎁 平台墊付，完成即退款+佣金！香港人限定，回 ""直播"" 入任務群",fraud,Thread
打字員火速招募！主要打律師樓文件，1000字=$280📜 任務每日更新，支援 Word / 記事本，完成即過 FPS！WhatsApp：+852 5440 8899,fraud,Thread
"【IG 故事推廣員】每日幫品牌轉發 IG Story，$25/個，一日 60 個 = $1500📱 自動化工具教學，回 ""Story"" 入群",fraud,Thread
"Hello, this is HR from Asia Pacific Ltd. We’re hiring caption typists, type subtitles from videos, $0.25 per word, avg $1200/day. Reply ""CAPTION"".",fraud,Thread
"急聘線上核對員🔍 比對網店訂單同出貨單，準確率高有 bonus，日薪 $900+💰 屋企用手機搞掂！回 ""核對"" 加群",fraud,Thread
"【Carousell 模擬買家】幫賣家衝曝光，每單 $70-$180👟 平台墊付，完成即退款+佣金！日結微信，回 ""Carousell"" 入任務群",fraud,Thread
Hi 我係 Maggie～而家招遠程登記員：幫公司登記客戶資料，100 份=$1100📋 支援手機 WPS，香港身份證優先！WhatsApp 領表格,fraud,Thread
"【TikTok 觀看員】每日觀看指定影片 20 分鐘，$450/日📹 幫頻道衝流量，多看多賺！完成過 Alipay，回 ""觀看"" 入群",fraud,Thread
打字員招募！主要打手寫會計憑證，1000字=$270🧾 任務每日發放，支援備忘錄，完成即過銀行！加群：https://chat.whatsapp.com/TypingHK,fraud,Thread
"【FB 粉絲團助理】每日幫頁面邀請 100 個香港人入群，$8/人，一日 $800👥 自動化工具教學，回 ""邀請"" 入任務群",fraud,Thread
"Hi 我係 Zoe～見你 JobsDB 有文職經驗！而家有遠程文件掃描工：影文件轉 PDF，日薪 $700-$1600📄 回 ""掃描"" 加群",fraud,Thread
【最終召集】網上任務員（多項目）打字/刷單/點擊/留言/訂閱✨ 每日 $800-$3000💸 任務自己揀，屋企手機搞掂！即刻入官方總群：https://t.me/HKOnlineJobs2025,fraud,Thread
我哋而家搵人啦! 職位空缺： - 網上工作 - 遠程工作 女士應聘優先 日薪：$500 - $2000 時間彈性，可以兼職工作 有相關經驗者優先 只限香港居民或需長居者 每日只需工作4 - 5個時間 提供專業培訓 管理層職位優先,fraud,IG
"【主要工作】:主要是打壹些手稿圖片 【工資多少】:按字數結算工資，不限制時間的1000字200元，比如3000字要求壹天內完成，那就是600工資。接哪種單.自己選擇就行。 【工作要求】:打字員要求盡量無錯別字，正確率需要95%以上。 【如何接單】:找任務老師接單，給妳發放任務，想做哪壹種單，自己選擇就行。手機打字的會員，入職後就可以領取任務，多勞多得，做任務有不懂的，有專門的老師手把手教。 【如何打字】：入職後會需要妳下載壹個【APP.打字軟件.直接打字（Microsoft Word）】，也可以用【手機自帶的.【備忘錄】【記事本】【WPS】都是可以打字的】 【任務傳送方式】：可以通過.【郵箱】【微信】等等方式發送給任務老師】 【工作時間】：有時間就接任務 沒有時間可以不做 根據自己的時間自由安排】沒有任何的時間限制 【工資結算】:任務單子打完提交,工資全部日結 （銀行，郵局，支付寶，微信，超商（超商门市711全家福地址给现金）都可以)MyGoPen查證參考：https://www.mygopen.com/2019/04/igline.html",fraud,IG
正在招聘 / 購物助理 // 工作需求： - 一般文職工作 - 需熟悉電腦、手機操作 - 工作需面對客戶，學習不限軟件操作 - 操作各種網絡營銷方式推廣公司產品 人工：60-230港幣 / 時薪,fraud,IG
"Good afternoon this is Gigo from Eminent Heritage Company Limited. Sorry for a late msg but thank you for applying our AI Digital marketing & Financial Planning Term-based Internship/ Part Time on jobsdb. After reviewing your resume, we are amazed by your profile and honoured to offer you an interview to further understand more of each other. Would you be free tmr 10am for a f2f interview? Our office is located in Quarry Bay.",normal,Moovup
"職位：網購包裝執貨員
 地區：青衣
 日期：11月開始 日日有更
 時間：
 星期一至六: 09:20-18:20
 星期日: 08:50-17:50
 工作內容：網購貨包裝，執貨，理貨
 要求：衣著輕便，波鞋即可 ，可接受加班，固定長返
 人工：$60/hr (包飯鐘)
 whatsapp電話：67562551",normal,Moovup
"職位：交樓專員
 地區：柴灣
 日期：星期一至五
 時間：0900-1800
 工作內容：負責檢驗及交收新落成之單位予業主, 跟進及安排執修工作
 工作要求：需持有(平安卡)綠卡, 需著安全鞋, 需要跟隨安全指示, 工地提供安全帽
 人工：$80/hr(長返長兼)
 whatsapp電話：67562551",normal,Moovup
"坐住入信員
 地區：元朗工業邨
 日期：11月12-22日
 時間：08:30-17:30
 工作內容：入信封（有得坐）
 要求：衣著輕便，T-Shirt，長褲，波鞋；需要長返，一星期至少4-5日
 人工：$55/hr (唔包飯鐘)
 whatsapp電話：67562551",normal,Moovup
"Promoter $80/hr (包30分鐘飯鐘)
 日期：10月23-26日
 地點：太古城/青衣城/又一城/德福/東港城
 時間：12:00-18:00
 工作內容：推廣入會，推廣10倍現金回贈
 工作要求：流利中文，識講英文，性格外向
 -
 衣著要求:
 需要着制服+拎board，要乾淨整齊
 不可以着logo褲/破牛/染金色頭髮/穿鼻環",normal,Moovup
"職位：霸王茶姬 店務員
 地區：上水/將軍澳
 日期：聽日開始 日日有更
 時間：09:00-18:00/13:00-22:00/14:00-23:00
 工作內容：負責一般店舖日常工作，包括收銀、飲品調製、預備材料及店舖清潔等
 人工：$65/hr (唔包飯鐘)
 whatsapp電話：67562551",normal,Moovup
"全職工作申請
 Pandamart 全職 Shop Assistant / Shop Supervisor
 1️⃣Shop Assistant 底薪13-14K + 1K attendance + up to 500 monthly incentive
 2️⃣Shop Supervisor 底薪16-17K + 1K attendance + up to 800 monthly incentive
 
 工作時間及安排：
 每週工作 5 天
 需輪班工作
 輪休制，由主管安排
 每天工作 9 小時（已包括用膳時間）
 有機會獲派不同分店 (或可議)
 年假10 天
 另所有國定假日放假，但可能需要在公休日工作，並另行安排休息日。
 
 工作職責：
 處理客戶日常訂單
 處理日常收貨及上貨工作
 整理分店工作環境
 檢查新鮮食品品質
 
 入職要求：
 學歷不拘
 無需工作經驗（設有在職培訓）／申請sup要有工作經驗
 懂閱讀中文
 能閱讀英文字母
 守時、積極、有禮貌
 具相關工作經驗及可即時上班者優先考慮",normal,Moovup
"職位：網購執單員
 地區：粉嶺祥華/上水彩園
 日期：9月24開始，日日要人
 時間：09:00-19:00
 工作內容：跟單執貨 簡單易做
 要求：要有網購經驗 固定長返 全黑長褲 波鞋
 人工：$600/日
 whatsapp電話：67562551",normal,Moovup
"職位：舞台影音技術員
 地區：中環海濱活動空間
 日期：28/9-6/10 (必須返哂)
 時間：待定（有機會加班及晚上通宵工作）
 工作內容：
 🕹協助安裝，操作及拆卸影音器材💡會有體力勞動（live show)
 要求：1年或以上相關Audio setup工作經驗(有大型舞台/演唱會的音響或舞台展覽經驗)
 人工：$83/hr
 whatsapp電話：67562551",normal,Moovup
"職位：交樓專員
 地區：柴灣/愉景灣
 日期：星期一至五
 時間：9:00-18:00
 工作內容：
 負責檢驗及交收新落成之單位予業主
 跟進及安排執修工作
 衣著舒適, 需著安全鞋
 要求：長兼，需持有(平安卡)綠卡及跟隨安全指示
 人工：$80/hr
 whatsapp電話：67562551",normal,Moovup
"珠寶展運送員 $80/hr
 
 工作日期：9月19日
 工作地點：亞洲博覽館
 工作時間：14:00-22:00
 工作內容：協助展覽點算及運送，展覽收場等工作
 要求：態度需主動積極; T恤長褲；勞動力工作
 whatsapp電話：67562551",normal,Moovup
"Date: Aug 8 0730(Taxi)-1430
 Location: HKSTP
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $70
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Date: 20250901
 Time: 1500-2200
 Location: Kai Tak Stadium
 Dress code: All BLACK Formal (Black blazer, Plain Black Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $100
 Bonus: +$80/Hour if arrive 15 minutes early and no complaints 
 Duty: packing & rehearsal (pre show) ; stage programme support, escort guests and move furnitures on stage (during show)
 
 Whatsapp : 95848961",normal,Moovup
"Date: 20250901
 Time: 1745-2145
 Location: Kai Tak Stadium
 Dress code: All BLACK Formal (Black blazer, Plain Black Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $70
 Bonus: +$25/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration
 
 Whatsapp : 95848961",normal,Moovup
"Date: Sep 27 0930-1430
 Location: HKU
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $90
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Date: Sep 30 0700(Taxi)-1400
 Location: HKUST
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $70
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Date: Oct 09 1200-1700
 Location: Central
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $90
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Date: Oct 8 0800-1800
 Location: Central Hotel
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $90
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Team building helper
 Date: Oct 10 1300-1830
 Location: AutoCamper 紅花嶺
 Dress code: Plain White Shirt, blue jeans, white Shoe
 Hourly rate: $100
 Bonus: +$50/Hour if arrive 15 minutes early and no complaints 
 
 Whatapps 64307678",normal,Moovup
"兼職店務員
 日期：9月19日開始
 時間：8小時/天
 地點：荃灣
 職務：點心店店務員
 薪金：70-75/小時
 
 Whatapps 92270190",normal,Moovup
"Date: Oct 8 1000-1830
 Location: Central Hotel
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $90
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Date: Oct 09 1200-1700
 Location: Central
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $90
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"長期功課班助理（小學）
 日期：2025年9月30日開始
 時間：1500-1900
 地區：荔枝角
 著裝：半正式休閒裝
 時薪：$80
 獎金：提前15分鐘到達且無投訴每小時加$20 
 
 Whatapps 64307678",normal,Moovup
"Date: 
 Nov 3 0630(Taxi)-1830
 Nov 4 0630(Taxi)-1830
 Location: TST Hotel
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $90
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Date: Nov 5 0630(Taxi)-1300
 Location: Central
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $90
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Date: Nov 10 0630(Taxi)-1200/1830
 Location: Ocean Park Hotel
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $90
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"Date: 
 20251011 0930-1630
 20251012 0930-1930
 Location: MK Hotel
 Dress code: Uniform provided, wear own blue jeans, black sneaker
 Hourly rate: $70
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Property handover event
 
 Whatsapp : 95848961",normal,Moovup
"Date: 
 Nov 17 0700(Taxi)-1630/1800(TBC)
 Nov 18 0700(Taxi)-1630/1800(TBC)
 Nov 19 0700(Taxi)-1630/1800(TBC)
 Nov 20 0700(Taxi)-1630/1800(TBC)
 Location: Central
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $70
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"General Event Helper Interview Day
 
 Date: Oct 19 This Sunday
 Location: Lai Chi Kok
 This is a great chance to learn more about our company, explore available positions, and take the first step toward a rewarding career with us. We look forward to meeting enthusiastic candidates who are eager to join our team.
 
 We encourage everyone interested to come by, bring your resume, and be ready to discuss your future with us!
 
 For any inquiries, please contact us at 64307678
 
 We look forward to seeing you there!",normal,Moovup
"Pet Event
 Date: 
 Nov 7 1130-2130
 Nov 8 1200-2130
 Nov 9 1200-2130
 Location: K11 Musea OUTDOOR
 Dress code: T-Shirt provided, Wear own Black jeans, Black sneaker
 Hourly rate: $70
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher/Event Helper
 
 Whatapps 64307678",normal,Moovup
"Date: 
 Nov 17 0700(Taxi)-1630/1800(TBC)
 Nov 18 0700(Taxi)-1630/1800(TBC)
 Nov 19 0700(Taxi)-1630/1800(TBC)
 Nov 20 0700(Taxi)-1630/1800(TBC)
 Location: Central
 Dress code: Formal (Black blazer, Plain White Shirt, Black Skirt, Black Stocking, Black Leather Shoe)
 Hourly rate: $70
 Bonus: +$20/Hour if arrive 15 minutes early and no complaints 
 Duty: Registration/Usher
 
 Whatapps 64307678",normal,Moovup
"商場招聘年輕Promoter
 
 日期 : 11月7-9日*要返哂3日
 時間 : 2pm-7pm
 地點 : 啟德
 時薪 : $90/hr
 
 職責 : 於戶外指定地方招攬客人，叫人登記做商場會員/去商場消費，唔使跑數
 要求 : 化妝，深色頭髮，積極主動，守時，態度友善，能獨立工作
 衣著 : 上身有衫提供，下身自備黑長褲波鞋
 
 如有意請WhatsApp近照到56887266並註明年齡
 
 📣📣📣📣返工前請留意：
 -預早5-10分鐘到達工作地點，遲到有機會取消工作
 -開工前需自拍報到，如需離開工作崗位超過十五分鐘要通知
 -工作時需積極主動，唔好不停玩手機
 -工作期間會有主管不定時抽查，無故失蹤者（包括工作期間）",normal,Moovup
"社交媒體小編
 職責：
 1. 協助管理客戶社交媒體專頁
 2. 計劃和執行社交媒體內容策略及發佈日曆
 3. 撰寫和編輯社交媒體帖文
 4. 管理社交媒體留言和私訊，及時回應查詢和評論。
 5. 分析社交媒體數據，評估內容效果，提供建議以改善未來策略。
 
 申請者必須具備以下條件：
 1. 懂得使用設計軟件優先（Canva, Photoshop, Adobe Illustrator等）
 2. 有責任感、團隊精神、勤奮
 3. 需外出到活動場地工作
 4. 優先考慮能即時上班者
 
 歡迎在校大學生和應屆畢業生！
 聘用形式：兼職
 薪金：$6000/月，每週返3日
 
 如有意請whatsapp林生51670522",normal,Moovup
"💥招💥美容promoter(男女亦可)全職，歡迎寬頻及美容同行 轉埸
 (短期或兼職免問)
 年齡: 16歲或以上
 
 ⏱️一個月八日例假，勞工假另計，上班時間12:00-7:30
 
 ⭐️ 地點:港九新界各區
 
 公司背景:香港有實力美容集團之一，分店遍佈港九新界多達20多間分店，星級藝人代言品牌，旗下設有醫美及痛症公司
 在多個會展展覽(BB展/健康博覽/試食展 )工展會長期合作 ,易開易做✅
 
 💰 月薪:18k起(計佣金)，7號過數出糧(另有獎金，新人可達25k以上)
 
 要求：
 ✅ 有禮貌，勤力主動，儀容整潔 (染髮不能太淺色, Gel甲不可誇張)
 
 工作內容：
 👉🏻 係户外找途人幫助做問卷調查及推廣，設有在職培訓，冇經驗者，設有培訓
 
 ⚠️ 申請以上工作，必需提供下列文件副本，用於安排出糧及僱主供強積金用途：
 1️⃣ 身分證
 2️⃣ 住址證明
 3️⃣ 出糧戶口銀行卡或有戶口號碼銀行信
 
 ⚠️ 必須銀行過數及扣MPF，現金糧免問
 
 ❌ 不守時、冇交帶、無故缺席亦冇提早至少一日請假、冇解釋者勿擾
 
 💥有意請whatsapp 9652 0963林先生，請提供個人照片一張",normal,Moovup
"商場活動招聘年輕Helper
 
 *要返哂2日*
 
 26/10 1330-1730
 31/10 1630-2030
 地點 : 觀塘
 時薪 : $80/hr
 
 職責 : 協助面部彩繪及派糖
 要求 : 黑髮，化妝，積極主動，守時
 衣著 : 上身有衫提供，下身自備黑長褲白波鞋
 
 如有意請WhatsApp近照到56887266並註明年齡
 
 📣📣📣📣返工前請留意：
 -預早5-10分鐘到達工作地點，遲到有機會取消工作
 -開工前需自拍報到，如需離開工作崗位超過十五分鐘要通知
 -工作時需積極主動，唔好不停玩手機
 -工作期間會有主管不定時抽查，無故失蹤者（包括工作期間）請勿打擾",normal,Moovup
"見習教練。有在職培訓。經驗不拘
 
 🌟每月6日假期、每日9小時工作
 
 🌟公司提供各種training津貼
 
 🌟招聘職位：見習健身教練/資深教練
 （ 男女均可)
 
 🌟良好晉升機會
 
 💰薪金: 初入職包薪6個月$18000
 （經驗不拘 公司設有在職培訓）
 
 
 有經驗及教練牌照優先
 有意WhatsApp 93131321",normal,Moovup
"商場中秋拍攝活動
 招聘男女臨時演員
 
 *靚仔靚女，注意，要求視覺年齡20-35歲，外表醒目整潔，不能戴口罩及戴眼鏡*
 
 日期 : 10月6日(一)
 時間 : 8:30pm-11:30pm
 地點 : 觀塘(商場戶外空地)
 薪金 : $150/hr
 
 職責 : 扮情侶玩中秋活動
 要求 : 守時，醒目，有笑容，有拍攝經驗優先
 衣著 : 上身要colourful，無卡通公仔衫，不要黑色及深色衫
 
 如有意請whatsapp正面全身相到56887266並註明身高年齡體重
 
 🎉🎉返工前請留意：
 -預早5-10分鐘到達工作地點，遲到有機會取消工作
 -開工前需自拍報到，如需離開工作崗位超過十五分鐘要通知
 -工作時需積極主動，唔好不停玩手機
 -🌟工作期間會有主管不定時抽查，無故失蹤者（包括工作期間）請勿打擾",normal,Moovup
"西醫診所招聘半職/兼職助護
 長沙灣區
 半職每星期返六天，每天工作5小時，月薪$12,800
 可選擇每星期返五天，薪金面議
 有急救證書優先
 兼職助護時薪$70
 經驗不拘，流利廣東話、英語及普通話，懂電腦操作
 有意者whatapps:96685368",normal,Moovup
"招聘男女神秘顧客
 
 *男女皆可，注意，要求視覺年齡30-50歲，外表斯文醒目整潔*
 
 日期 : 9月26-27日*只能選擇1日
 時間1 : 2:00pm
 時間2 : 2:30pm
 時間3 : 3:00pm
 地點 : 中環
 薪金 : $200*29/9過數
 
 職責 : 於外國樓盤展銷會檢視銷售人員表現，約1小時完成
 要求 : 守時，健談，有耐性
 衣著 : Smart Casual
 
 如有意請whatsapp正面全身相到56887266並註明年齡身高體重報邊日咩時間
 
 🎉🎉返工前請留意：
 -預早5-10分鐘到達工作地點，遲到有機會取消工作
 -開工前需自拍報到，如需離開工作崗位超過十五分鐘要通知
 -工作時需積極主動，唔好不停玩手機
 -🌟工作期間會有主管不定時抽查，無故失蹤者（包括工作期間）請勿打擾",normal,Moovup
"商場招聘醒目男女Redemption Helper
 
 *要求20-35歲，要返哂3日*
 
 日期 : 10月10-12日*要返哂3日
 時間 : 1000-1630
 地點 : 尖沙咀(室內有得坐)
 時薪 : $80/hr
 
 職責 : Redemption工作
 要求 : 識用Excel，守時，需有Redemption經驗，識睇單，懂美妝及奢侈品牌，懂普通話，能獨立工作
 衣著 : 上身有T提供，下身黑色長褲，白色鞋
 
 如有意請WhatsApp近照到56887266並註明年齡
 
 📣📣📣📣返工前請留意：
 -預早5-10分鐘到達工作地點，遲到有機會取消工作
 -開工前需自拍報到，如需離開工作崗位超過十五分鐘要通知
 -工作時需積極主動，唔好不停玩手機
 -工作期間會有主管不定時抽查，無故失蹤者（包括工作期間）請勿打擾",normal,Moovup
"招聘年輕Office helper
 
 *要求20-30歲，每日1小時食飯有薪，要返哂全期共19日*
 
 日期 : 9月4-30日*逢星期一至五(要返哂共19日)
 時間 : 10am-7pm
 地點 : 觀塘
 時薪 : $70/hr
 
 職責 : 協助商場一切工作安排
 要求 : 大專或以上學歷，積極主動，守時，有淘寶Account
 
 如有意請WhatsApp近照及CV到56887266並註明年齡
 
 📣📣📣📣返工前請留意：
 -預早5-10分鐘到達工作地點，遲到有機會取消工作
 -開工前需自拍報到，如需離開工作崗位超過十五分鐘要通知
 -工作時需積極主動，唔好不停玩手機
 -工作期間會有主管不定時抽查，無故失蹤者（包括工作期間）請勿打擾",normal,Moovup
