Message,Label,Source,Language
"工作場所 :金鐘港島香格里拉酒店(咖啡室)侍應
 工作時間 :2025-11-10 08:00 至 13:00 星期一
 工作時間 :2025-11-10 18:00 至 23:00 星期一
 工作時間 :2025-11-11 08:00 至 13:00 星期二
 工作時間 :2025-11-11 18:00 至 23:00 星期二
 工作時間 :2025-11-12 07:00 至 12:30 星期三
 工作時間 :2025-11-12 08:00 至 13:00 星期三
 工作時間 :2025-11-13 08:00 至 13:00 星期四
 工作時間 :2025-11-13 18:00 至 23:00 星期四
 工作時間 :2025-11-14 07:00 至 12:30 星期五
 工作時間 :2025-11-14 08:00 至 13:00 星期五
 工作時間 :2025-11-14 18:00 至 23:00 星期五
 工作時間 :2025-11-15 07:00 至 12:30 星期六
 工作時間 :2025-11-15 08:00 至 13:00 星期六
 所需人數 :1
 薪金 :80 時薪 兩星期銀行過戶
 聯絡人 :小思(K)褀線 電話:65232448 whatsapp:65232448
 簡介 :18歲或以上，如完全未做過飲食行業一律不接受上班，自備黑長褲＋黑長襪＋穿著防滑防油黑鞋上班 餐廳牛奶樽需留起，請勿掉棄 下班離開酒店前必須喺保安處再次登記！千祈唔好拎公司任何財物出酒店範圍。 若有發現，必定即時解僱",normal,IG,zh
"工作場所 :灣仔合和酒店宴會部(洗碗)
 工作時間 :2025-11-10 10:00 至 19:00 星期一
 工作時間 :2025-11-11 15:00 至 01:00 星期二
 工作時間 :2025-11-11 18:00 至 02:00 星期二
 工作時間 :2025-11-13 17:00 至 03:00 星期四
 工作時間 :2025-11-15 12:00 至 19:00 星期六
 薪金 :90 時薪 即日出現金
 聯絡人 :小程(A)(M1) 電話:65232448 whatsapp:65232448
 簡介 :自備黑色T 恤，包善食，有洗碗機和足夠人手，年滿18歲或以上，自備黑色長褲黑色防跣鞋，有經驗優先，*一定要有銀聯強積金卡和3個月住址證明先返到*主要工作：洗碗，收尾2小時會洗廚房。22-08時段是通宵洗廚房。01:00後06:00前有$25車錢。返工收工時間可商量！報更前要計好400，以免爆鐘。",normal,IG,zh
"工作場所 :中環四季酒店見工(宴會部)(侍應)
 薪金 :💥80-120時薪 💥兩星期銀行過戶
 
 工作簡介：一定要年滿18歲和要有東亞mpf卡，見工後大量$100hr工作，見完工後5個工作天可以返工，見工後可以返長鐘，報見工沒有出席，會影響將來接更
 
 見工時間：
 
 工作時間 :2025-11-08 15:00 星期六
 工作時間 :2025-11-15 15:00 星期六
 工作時間 :2025-11-22 15:00 星期六
 工作時間 :2025-11-29 15:00 星期六
 
 👇可以使用CDB小助手十秒註冊會員，之後可以即時報更，即日返得工，自選更期
 https://cdb.hk/inu
 
 👇可以用下面快捷鍵申請
 https://www.casualdb.com/job/search/68fc39fd8939c68fc39fd893d3
 
 可見工的請WhatsApp 65232448個人資料（中文全名，見工日子）進行報名
 
 聯絡人 :小程 電話:65232448
 可登入下面網址直接WhatsApp對話
 wa.me/85265232448",normal,IG,zh
"工作場所 :灣仔瑞吉酒店宴會部(侍應)
 薪金 :80 時薪 兩星期銀行過戶
 聯絡人 :小程(A)(M1) 電話:65232448 whatsapp:65232448
 簡介:收工簽名簽ming缐，否則冇糧出。不用分菜，冇經驗都返得，男仔主力負責傳菜，女仔負責做酒水和落餐，早中更最夜收24:00，收工時間唔定，冇生意會早收，如果不能收尾可以WhatsApp負責人商討。18歲以上帶黑色皮鞋（女仔要黑色有踭空姐皮鞋）+黑色長西褲+黑色長襪、身份證副本、出糧戶口副本、東亞mpf先可以返工",normal,IG,zh
"商廈/商場counter客戶服務代表 [尖沙咀] $18-22K *五天工作
 - 於商廈/商場counter提供優質客戶服務，解答客人詢問
 - 於10am-10:30pm輪班
 - 每天工作8小時，另有1小時食飯時間
 - 每星期工作5天，輪休
 - 年假12天，另有生日假，家庭假
 - 醫療福利，牙醫福利
 - 尖沙咀上班
 - 中五或以上程度
 - 無需經驗
 有意請將(1)履歷表(2)正面照發送至Whatsapp 9163 2318
 wa.me/85291632318",normal,IG,zh
"電話續約員 $17K-60K
 [ 屯門 / 九龍灣 ] Telesales, Call Centre
 - 致電聯絡現有客戶(warm call), 為他們的電訊服務(手機上台plan, 寬頻上網等)延續及更新合約
 - 每星期48小時(不包括飯鐘), 長短週
 短週: 星期一至五10am-9pm內輪班
 長週: 星期一至五10am-9pm內輪班 + 星期六12:30pm-6pm
 - 屯門 (近西鐵站) / 九龍灣
 - 首半年保證最少$17K (如到數或爆數, 月薪約$18-40K)
 - 年假14天
 - 無需經驗
 有意請將履歷表發送 sec@harmansearch.com 或 Whatsapp 9163 2318
 wa.me/85291632318",normal,IG,zh
"手機售貨員 [港九新界] $22-26K *無需經驗 Mobile Sales
 - 向客人推銷電子產品，如手機、平板電腦，以達到銷售目標
 - 協助店舖日常營運，提供優質客戶服務
 - 長週工作6天，短週工作5天
 - 每天工作8小時，飯鐘1小時
 - 於10am-10pm輪班
 - 銀行假期(補假)
 - 年假14天
 - 港九新界均有分店，成功聘用後 會再安排確實上班地點
 有意請將履歷表發送至Whatsapp 9163 2318",normal,IG,zh
"電商運營助理招聘
 職位詳情
 工作內容：
 1. 店鋪運營：商品上架、下架管理，店鋪頁面優化
 2. 營銷支持：協助策劃促銷活動，設置優惠券、折扣等
 3. 直播支持：熟悉電商直播流程，協助直播設備調試、現場協調
 4. 門店支持：偶爾需協助門店雜務（如貨品整理、搬運）
 
 任職要求：
 1. 熟練使用電腦及辦公軟件（Excel等）
 2. 具備基礎設計能力（如商品修圖、詳情頁排版）
 3. 體力要求：需搬運商品（男生或體力較好的女生優先）
 4. 語言能力：熟練粵語（日常溝通及直播支持需使用）
 5. 加分項：有Shopline操作經驗或電商直播經驗
 
 ——-
 
 
 ——-
 
 申請方式
 1. 發送簡歷至郵箱 senventures@gmaii.com 也可以加微信號 sensventures
 2. 郵件標題格式：電商運營助理應聘+姓名
 3. 附個人作品（如商品設計圖、Shopline店鋪案例等）",normal,IG,zh
"職位: 銅鑼灣利園名店保安員 (2名)
 工作職責︰店舖站崗,巡邏,人流控制 (負責正門開及關門）——五人鋪
 
 時間: 每日10.5小時
 
 月薪：每月 $17500—$18500 (1hour meal break,2x15mins break 每月四天輪休)
 
 工作類型: 全職
 
 工作時間：
 
 · 日班
 
 福利 ：醫療福利、年假7日、勞工假14日。
 
 工作經驗:
 
 · 保安: 1 年 (必要條件)
 
 語言: 流利廣東話,一般英語及普通話 (必要條件)
 
 執照/認證:
 
 QAS證書 (必要條件)
 
 保安人員許可證 (必要條件)
 
 有意申請者請將個人履歷於辦公時間發至whatsapp 56380451劉先生（請勿電聊）",normal,IG,zh
"職位：工業大夏夜更保安（1名）
 地區：灣仔
 
 職責：負責執行巡邏，出入口登記，遇緊急事件時，以專業的方式恰當處理。
 
 要求：流利粵語，持有效保安人員許可證、有效QAS證書，一般電腦操作，有急救證更佳。
 
 經驗：必需要有一年或以上保安督導經驗
 
 工作時間：每天12小時
 1900-0700
 
 薪酬： 每月 $16000（每周六天工作日）
 
 福利 ：醫療福利、年假7日、勞工假14日。
 
 有意申請者請email個人履歷至David.wong@macrotech.hk或辦公時間whatsapp 56959829黃先生查詢",normal,IG,zh
"地點：沙田
 工作時間：9:15am - 6:03pm (Mon-Fri) ；每星期工作44hrs
 
 工作職責：
 監控場地設備的日常系統操作；
 就錯誤修復問題與供應商進行協調和聯絡；
 為有需要人士之娛樂活動和計劃；為客戶提供措施的支援；
 處理場地活動和設施的設定；
 協助免費使用休閒設施的設定和測試；
 處理公眾的詢問和投訴，調查案件，起草答覆；
 履行部門分配的任何其他職責等。
 
 學歷要求：
 香港學士學位畢業或同等學歷或以上；
 會考/HKDSE之中英文達3或C級或同等學歷(如：中英文CRE達 Level 1等)；
 2年全職工作經驗；
 一般電腦操作及應用(e.g.: Microsoft office等)；
 流利及讀寫廣東話和一般英文及普通話；
 勤力、有禮守時；
 
 有意請將履歷電郵至hr@aplushrhk.com應徵。",normal,IG,zh
"全職倉務員(葵興區面包工場) (長短周假)
 
 職責 :負責倉務及執貨工作；跟單執貨、收貨發貨、材料分發, 入盒包裝等, 間中須送貨入凍房, 協助定期盤點，跟單入電腦等工作
 
 資歷 :中學畢業; 至少半年或以上全職倉務工作經驗; 一般粵語; 懂讀寫中文; 略懂讀寫英文;
 有食品工場全職倉務工作經驗優先,
 **必須懂得使用電唧車**
 
 待遇 :每月HK$15,000 - $17,000, 另有勤工獎金及膳食津貼, 生日假, 花紅
 上午9時至下午6時/上午10時至下午7時, 每週工作5-6天(長短周), 輪休, (每天工作 9 小時, 一小時有薪用膳時間)
 
 有經驗人士薪酬面議
 穿著制服、月結銀行轉帳供強積金
 
 申請須知 :求職者可致電52858020與麥菲有限公司聯絡。",normal,IG,zh
"工作範圍:
 處理病人登記、查詢、預約及收銀職務
 配藥、跟房
 協助及聯絡醫生
 協助診所日常運作及處理相關文書工作
 檢查和整理醫療用品存貨
 .
 要求:
 須具一年普通科或專科診所工作經驗
 須懂得使用 Clinic Solution 及中文輸入
 須與醫生及病人有良好溝通技巧
 能獨立處理工作及有良好團隊精神
 工作態度認真盡責、守時
 待客親切有禮誠實
 如有抽血/注射認可證書及相關經驗會優先考慮
 良好粵語﹑懂一般英語及普通話
 .
 工作時間:
 銀行假 (星期日及公眾假期休息)
 星期一至五: 11:00-20:00 (1.5小時午飯)
 星期六: 11:00-18:00 (1小時午飯時間)
 額外2天例假
 每星期安排平日一天收早 18:30
 薪資：薪酬範圍: $16000-$20000 (視乎經驗) . 其他： 超時補鐘 勤工獎金 醫療福利 員工購物優惠 在職專業培訓 晉升機會 有薪年假 婚假 產假 恩恤假 生日假 酌情性花紅",normal,IG,zh
"歡迎對面包生產行業有意人士～
 葵興面包工場招聘全職：
 招聘全職:
 -面包生產員，上班時間08-17/09-18
 -打面學徒/經驗打面員，上班時間08-17/09-18/10-19
 -烘焙中/小工，上班時間07-16/08-17
 -蛋糕製作員(中工)，上班時間09-18
 -包裝員，上班時間08-17/09-18/10-19
 -夜更包裝員，上班時間1700-2330 (返工首1-3天需要日更培訓1130-1800)
 -清潔員，上班時間07-16/09-18
 
 
 另聘(月結現金支票)：
 臨時兼職生產/包裝員(一至兩個月短期工作)，上班時間08-17/09-18/10-19、一周4-6天工作，星期六或日可上班優先
 -兼職清潔員(長期可返)，上班時間0700-1600/0900-1800，一周3-6天工作，無需經驗，星期六日可上班優先，時薪$60-65
 
 (沒有現金方式出糧)
 -全職職位每天9小時(8小時工作及1小時用膳)，一星期輪休一天
 -月薪按不同職位及經驗面議，另有勤工獎及膳食津貼
 
 -冷氣工場、在職培訓、穿著制服、站立工作、有需要時加班工作
 
 -月結銀行轉帳、須供強積金，必須年滿18歲
 有興趣人士可致電/WHATSAPP聯絡52858020預約面試或查詢",normal,IG,zh
"大量招聘地產代理/物業顧問
 職責 :
 一般客戶服務助理工作，處理分行之雜務，例如文件整理，列印樓盤紙之工作，負責分行之所有常務工作，填報的資料，消息發放等，需外勤工作，協助分行同事後勤，協助團隊聯絡客戶，售後服務，學習及熟悉有關地產運作，及更專業工作項目，接聽電話，接待客戶，更新分行門面及傳單資料，點收鎖匙，學習買賣程序，銀行轉介
 資歷 :
 中五學歷; 一般粵語; 懂閱讀中文
 待遇 :
 每月$12,000, 有勤工獎, 開單獎金, 入票獎金, 佣金, 每週工作6天,輪休, 每天工作 9小時
 申請須知 :
 求職者可致電9777 2600與利嘉閣地產有限公司李先生聯絡。
 薪資：薪資：待遇 : 每月$12,000, 有勤工獎, 開單獎金, 入票獎金, 佣金, 每週工作6天,輪休, 每天工作 9小時",normal,IG,zh
"職責 :
 協助牙科外展隊到各區提供口腔健康教育；
 協助social media品牌傳播 :
 中五程度; 良好粵語優先; 一般普通話; 一般英語; 懂讀寫中文; 略懂讀寫英文; 懂電腦文書處理; 懂中英文電腦操作; 具有基本電腦操作知識;
 為人誠懇有禮、工作細心、勤奮盡責、守時自律, 合作力求長期穩定為主。
 待遇 :
 1、外展活動每小時$50.00；
 2、social media工作計量，$30至$50每一篇文章。
 小時
 申請須知 :
 求職者可電郵(844583537@qq.com)履歷表給深圳善貝牙科，或直接WhatsApp聯絡：+852 57469293",normal,IG,zh
"誠聘大量包裝員多名，返星期一至六，長兼或兼職均可，每星期可返四天以上優先考慮，經驗不拘。
 地點：天水圍
 
 時間：9:00am-6:00pm
 
 主要職責： 遵循主管安排、 將包裝品分類貼上貼紙 、把貨品放好或一般簡單倉務包裝工作。
 
 日薪：女工$420
 男工$500
 
 出糧方式:星期一至星期日截數，逢星期五出糧 。
 
 前往方法：天水圍西鐵站B出口，乘K65巴士
 
 入職要求: ● 守時 ● 有責任心 ● 主動積極 ● 細心勤奮 ● 可隨時上班為優先 （必須年滿十八歲以上）
 
 如有興趣者可致電或WhatsApp:96124750查詢。",normal,IG,zh
"工作職責：
 開發票, 文件存檔, 資料輸入, 每月月結單列表, 銀行入票, 跟進供應商採購, 接聽電話, 採購文具及公司用品, 跟隨上級指示，執行被委派的工作
 入職要求：
 * 中六程度或以上 *
 *具2年或以上文職工作經驗 *
 *基本英語, 普通話 , 粵語*
 *懂中英文打字, 具基本電腦操作知識(包括:MS Excel)*
 *有良好溝通能力、細心、有禮、有責任感、守時、
 積極主動*
 
 求職者可發履歷至
 Whatsapp 96697277 或
 電郵至 hrqueens1@gmail.com
 等候回覆約見
 
 薪資：月薪14500, 年尾花紅, 法定公眾假期及勞工法例年假 工作時間：星期一至五, 9:30a.m-6:30p.m.",normal,IG,zh
"香港20年品牌！
 工作地點: 大圍，沙田，九龍及香港仔
 工作時間:9am-7pm，可彈性編更
 需要大量經驗人手
 有意WhatsApp 91873233/67347136
 可即時上班！",normal,IG,zh
"本崗位為公司直招崗位，非外包。
 【工作內容】
 1. 門店市場活動策劃與執行：負責策劃符合香港市場定位的門店活動，並監督執行；
 2. 社交媒體管理：負責社交媒體創意策劃，內容製作，發佈，用戶互動，閉環運營；
 （平臺包括但不限於：Instagram、Facebook、Youtube、Tiktok 等；內地社媒需要熟悉小紅書）
 3. 媒介：與香港地區達人建聯，並建立長期合作關係；
 4. 投放：Google, META, 獨立站推廣等的投放管理，數據檢測。
 5. 社媒數據安全與隱私保護：遵守當地的數據保護法規和隱私政策，確保用戶數據的安全和隱私保護，建立用戶信任和品牌形象。
 
 【崗位要求】
 1. 新聞、傳播、行銷、多媒體相關專業學士學位。3-5年以上海外媒體運營工作經驗，網感強且腦洞大，內容原創能力；
 2. 有豐富的市場營銷活動策劃和執行經驗，有線下門店的線上社媒傳播經驗；
 3. 優秀的粵語和英文水平，有很好的寫作能力。（粵語、普通話、英語應用熟練）；
 4. 有一定的文字功底，會根據突發熱點事件及熱門內容趨勢快速產出創意；
 5. 具備一定的圖片/視頻拍攝和後期處理能力（PS基礎，剪映）；
 6. 審美能力：熟悉小紅書、IG審美，可以根據需求創作出有質量的圖文內容；
 7. 能夠適應節奏較快的工作，善於溝通，有良好的組織協調能力，抗壓能力強；
 8. 瞭解香港本地推廣法律政策。
 
 薪資： 1、本崗位為公司直招，可接受居家+坐班的混合辦公模式，可選擇自由辦公； 2、香港居民優先考慮，熟悉香港當地風俗習慣。 3、上班地址：灣仔區銅鑼灣寶利園山道富大樓。 4、薪水：15000-30000/月。 5、五天工作制。 6、年假7天起。",normal,IG,zh
"Visual arts/Procreate Tutor課程導師
 教學語言: 中/英
 有意者請將CV電郵至hr @ hkcef . info，我們會定期安排免費培訓，並配對學校和崗位。
 薪資：每課程約10-15小時 $180-280/小時 (視乎學歷和經驗而定)",normal,IG,zh
